,index,週初め,週終わり,始値,終値,最高値,最安値,rsi,移動平均線,標準偏差,BB
0,1,,2010/2/12,1640.0,1800.0,1870.0,1620.0,0.0,,,
1,2,2010/2/15,2010/2/19,1820.0,1750.0,1850.0,1750.0,0.0,,,
2,3,2010/2/22,2010/2/26,1760.0,1740.0,1820.0,1730.0,0.0,,,
3,4,2010/3/1,2010/3/5,1730.0,1800.0,1810.0,1720.0,0.0,,,
4,5,2010/3/8,2010/3/12,1840.0,1820.0,1930.0,1800.0,0.0,,,
5,6,2010/3/15,2010/3/19,1830.0,1880.0,1920.0,1810.0,0.0,,,
6,7,2010/3/23,2010/3/26,1900.0,1900.0,1980.0,1870.0,0.0,,,
7,8,2010/3/29,2010/4/2,1870.0,1880.0,1920.0,1860.0,0.0,,,
8,9,2010/4/5,2010/4/9,1890.0,1940.0,1960.0,1890.0,0.0,,,
9,10,2010/4/12,2010/4/16,1960.0,2020.0,2100.0,1910.0,0.0,,,
10,11,2010/4/19,2010/4/23,1970.0,2040.0,2130.0,1940.0,0.0,,,
11,12,2010/4/26,2010/4/30,2060.0,2020.0,2100.0,2010.0,0.0,,,
12,13,2010/5/6,2010/5/7,1950.0,1860.0,1970.0,1830.0,0.0,,,
13,14,2010/5/10,2010/5/14,1860.0,1780.0,2000.0,1730.0,0.0,,,
14,15,2010/5/17,2010/5/21,1780.0,1640.0,1780.0,1610.0,40.0,,,
15,16,2010/5/24,2010/5/28,1640.0,1530.0,1640.0,1500.0,37.2093023255814,,,
16,17,2010/5/31,2010/6/4,1530.0,1600.0,1620.0,1530.0,42.391304347826086,,,
17,18,2010/6/7,2010/6/11,1550.0,1530.0,1560.0,1440.0,35.483870967741936,,,
18,19,2010/6/14,2010/6/18,1530.0,1520.0,1550.0,1480.0,33.69565217391305,,,
19,20,2010/6/21,2010/6/25,1520.0,1470.0,1540.0,1460.0,27.47252747252747,1776.0,172.40649639732248,2120.8129927946447
